ÍTEM,DEL FOLIO/PAGINAS,RAZON SOCIAL REMITENTE,No. RADICADO REMITENTE,RAZON SOCIAL DESTINATARIO,No. RADICADO DESTINATARIO,FECHA (DD/MM/AAAA),ASUNTO / TIPO DOCUMENTAL,UBICACION_ARCHIVO
14,1,,,CONSORCIO 4C,GP-16449,26/02/2024,Riesgo catastrófico márgenes cauce natural Rio Magdalena,15_04_Comunic_Recibidas/2023 EN ADELANTE/CI004_GP-16449_050300_TER_RIESGO_CATASTROF-RIO_MAGDALENA.pdf
15,3,MINISTERIO DE TRANSPORTE,,CONSORCIO 4C,GP-16442,08/03/2023,Respuesta a su radicado No CI.004/GP10354/22/9.9 con radicado ANI No. 20224091243542. Informe Final – Contrato de Interventoría 145 de 2014 - Proyecto Honda-Puerto Salgar-Girardot. Consorcio 4C.,15_04_Comunic_Recibidas/2023 EN ADELANTE/CI004_GP-16442_090900_ANI_OBSERV_INF_FINAL_INTERV_V01.pdf
16,3,CONSORCIO 4C,CI.004/0371/25/1.4,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,"['20253120321911', '20253120441671']",11/12/2025,Ref. Contrato de Interventoría 145 de 2014 Concesión Honda - Puerto Salgar - Girardot. Respuesta radicados ANI 20253120321911 y 20253120441671- Archivo Documental del Proyecto,15_01_Cartas_Enviadas/RADICADAS/2023 EN ADELANTE/037125_010400_CI004_ANI_RESPUESTA_ARCHIVO_PROYECTO (1).pdf
18,1,CONSORCIO 4C,CI.004/0372/26/1.4,AGENCIA NACIONAL DE INFRAESTRUCTURA,20264090183202,13/02/2026,CONTRATO DE INTERVENTORIA 145 DE 2014 RADICACION COMUNICACION CI.004/0372/26/1.4,15_01_Cartas_Enviadas/RADICADAS/2023 EN ADELANTE/037226_010400_CI004_Radicaddo ANI 20264090183202.pdf
17,3,CONSORCIO 4C,CI.004/0371/25/1.4,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,"['20253120321911', '20253120441671']",11/12/2025,Ref. Contrato de Interventoría 145 de 2014 Concesión Honda - Puerto Salgar - Girardot. Respuesta radicados ANI 20253120321911 y 20253120441671- Archivo Documental del Proyecto,15_01_Cartas_Enviadas/RADICADAS/2023 EN ADELANTE/037125_010400_CI004_ANI_RESPUESTA_ARCHIVO_PROYECTO.pdf
19,1,CONSORCIO 4C,CI.004/0345/24/1.4,AGENCIA NACIONAL DE INFRAESTRUCTURA,20244091486102,27/11/2024,"CONTRATO DE INTERVENTORíA 145 DE 2014, RADICACIóN COMUNICACIóN CI.004/0345/24/1.4",15_01_Cartas_Enviadas/RADICADAS/2023 EN ADELANTE/034524_010400_CI004_Radicado ANI 20244091486102.pdf
20,4,CONSORCIO 4C,CI.004/0372/26/1.4,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,,13/02/2026,Ref. Contrato de Interventoría 145 de 2014 Concesión Honda - Puerto Salgar - Girardot. Reprogramación entrega Archivo Documental del Proyecto,15_01_Cartas_Enviadas/RADICADAS/2023 EN ADELANTE/037226_010400_CI004_ANI_ARCHIVO_PROYECTO_REPROG.pdf
22,1,CONSORCIO 4C,,AGENCIA NACIONAL DE INFRAESTRUCTURA,20244091022792,20/08/2024,ENTREGA DE ARCHIVO DEL PROYECTO A LA ANI.,15_01_Cartas_Enviadas/RADICADAS/2023 EN ADELANTE/024224_010400_CI004_ANI_RESPUESTA_ARCHIVO_PROYECTO_RADICADO.pdf
21,8,CONSORCIO 4C,CI.004/GP10362/23/9.9,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,20233110078841,27/07/2023,Ref. Contrato de Interventoría 145 de 2014 Concesión Honda - Puerto Salgar - Girardot. Ajuste Informe Final de Interventoría,15_01_Cartas_Enviadas/RADICADAS/2023 EN ADELANTE/CI004_1036223_090900_ANI_AJUSTE_INFORME_FINAL.pdf
23,4,CONSORCIO 4C,CI.004/0242/24/1.4,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,,20/08/2024,Ref. Contrato de Interventoría 145 de 2014 Concesión Honda - Puerto Salgar - Girardot Entrega de archivo del proyecto a la ANI.,15_01_Cartas_Enviadas/RADICADAS/2023 EN ADELANTE/024224_010400_CI004_ANI_RESPUESTA_ARCHIVO_PROYECTO.pdf
25,1,CONSORCIO 4C,CI.004/GP10362/23/9.9,AGENCIA NACIONAL DE INFRAESTRUCTURA,20234090852642,31/07/2023,COMUNICACIóN CI.004/GP10362/23/9.9 AJUSTE INFORME FINAL DE INTERVENTORíA,15_01_Cartas_Enviadas/RADICADAS/2023 EN ADELANTE/CI004_1036223_090900_ANI_RADICADO.pdf
24,1,CONSORCIO 4C,CI.004/0371/25/1.4,AGENCIA NACIONAL DE INFRAESTRUCTURA,20254091581932,12/12/2025,"CONTRATO DE INTERVENTORíA 145 DE 2014, RADICACIóN COMUNICACIóN CI.004/0371/25/1.4",15_01_Cartas_Enviadas/RADICADAS/2023 EN ADELANTE/037125_010400_CI004_Radicado ANI 20254091581932.pdf
26,2,CONSORCIO 4C,CI.004/0345/24/1.4,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,,26/11/2024,Ref. Contrato de Interventoría 145 de 2014 Concesión Honda - Puerto Salgar - Girardot Entrega de archivo del proyecto a la ANI.,15_01_Cartas_Enviadas/RADICADAS/2023 EN ADELANTE/034524_010400_CI004_ANI_RESPUESTA_ARCHIVO_PROYECTO.pdf
