ÍTEM,DEL FOLIO/PAGINAS,RAZON SOCIAL REMITENTE,No. RADICADO REMITENTE,RAZON SOCIAL DESTINATARIO,No. RADICADO DESTINATARIO,FECHA (DD/MM/AAAA),ASUNTO / TIPO DOCUMENTAL,UBICACION_ARCHIVO
11,2,CONCESIÓN ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-6990,17/01/2018,"Respuesta a su comunicación CI.004/GP3625/17/7.4.1 del 22 de diciembre de 2017 (Rad. Interno 4469 del 20 de diciembre de 2017); CI.004/GP3604/17/7.4.1 del 21 de diciembre de 2017 (Rad. Interno 4445 del 21 de diciembre de 2017), CI.004/GP3710/17/7.4.1 del 10 de enero de 2018 (Rad. Interno 108 del 10 de enero de 2018), expedientes prediales de la unidad funcional 5.",15_04_Comunic_Recibidas/2018/CI004_GP-6990_070401_CON_0257_EXP_PREDIAL.pdf
14,4,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2018-1477,CONSORCIO 4C,GP-7631,12/04/2018,Notificación de ocupación del derecho de vía en el PR 18+500 RN 4510 por la empresa contratista CHEC del grupo EPM E.S.P.,15_04_Comunic_Recibidas/2018/CI004_GP-7631_070104_CON_1477_DEREC_VIA_PR18.pdf
12,1,CONCESIÓN ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-7444,14/03/2018,Su Comunicación CI.004/GP3992/18/7.1.7 – Radicado ALMA-R-2018-0756 del 02 de Marzo de 2018. Diseños Definitivos Puente P6 de la UF 4,15_04_Comunic_Recibidas/2018/CI004_GP-7444_070107_CON_1137_DISÑ_PTE_P6_UF4.pdf
13,1,CONCESIÓN ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-8956,17/10/2018,"Respuesta comunicación CI.004/GP3847/18/7.4.1 del 07 de Febrero de 2018 (Rad. Interno ALMA-2018-0207) Entrega de un (1) expediente para aprobación del Avalúo Comercial Corporativo, ALMA-2-0157-1.",15_04_Comunic_Recibidas/2018/CI004_GP-8956_070406_CON_3998_EXP_AVALUO.pdf
15,1,CONCESION ALTO MAGDALENA S.A.S.,ALMA-2018-2194,CONSORCIO 4C,GP-8017,06/06/2018,Entrega de un (1) expediente predial de la Unidad Funcional 2 para revisión del componente Social.,15_04_Comunic_Recibidas/2018/CI004_GP-8017_070402_CON_2194_EXP_SOCIAL.pdf
16,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2018-4099,CONSORCIO 4C,GP-9009,25/10/2018,Entrega de Memoria Técnica Mes de septiembre de 2018.,15_04_Comunic_Recibidas/2018/CI004_GP-9009_070500_CON_4099_MEMOTEC_SEP.pdf
17,6,CONCESION ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-8286,13/07/2018,"Respuesta a oficio CI.004/4489/18/7.19, del 24 de mayo de 2018 radicado interno ALMA-R-2018-1664, identificado como PQRS UF2 2018 228 – Informe Cumplimiento compromisos con la comunidad municipio Guataquí.",15_04_Comunic_Recibidas/2018/CI004_GP-8286_070109-070107_CON_2675_COMPRO_GUATAQ.pdf
18,1,CONCESIÓN ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-9010,25/10/2018,Entrega de la Sabana Predial y Tira topográfica.,15_04_Comunic_Recibidas/2018/CI004_GP-9010_070401_CON_4121_SABANA_PREDIAL.pdf
19,1,Agencia Nacional de Infraestructura,20184090478692,CONSORCIO 4C,GP-7847,18/05/2018,Oficio radicado ANI 20184090478692. Hallazgos Construcción Dovelas No 4 Voladizos No 3 y 4 – Puente Nuevo Salgar - Proyecto Girardot – Honda – Puerto Salgar. Contrato de Concesión 003 de 2014 – Concesión Alto Magdalena S.A.S.,15_04_Comunic_Recibidas/2018/CI004_GP-7847_070103_ANI_015243-1_DOVELAS_PTE_SALGAR.pdf
23,1,,,CONSORCIO 4C,GP-9013,,,15_04_Comunic_Recibidas/2018/CI004_GP-9013_070401_CON_4127_EXP_PREDIAL.pdf
24,1,,,CONSORCIO 4C,GP-7035,,,15_04_Comunic_Recibidas/2018/CI004_GP-7035_070108_CON_0342_PDT_CIER_AMB.pdf
25,1,,,CONSORCIO 4C,GP-7975,,,15_04_Comunic_Recibidas/2018/CI004_GP-7975_070401_CON_1834_EXP_PREDIAL.pdf
26,2,,,CONSORCIO 4C,GP-9233,,,15_04_Comunic_Recibidas/2018/CI004_GP-9233_070108_CON_4408_MATERIAL_PETREOS.pdf
27,1,,,CONSORCIO 4C,GP-6861,,,15_04_Comunic_Recibidas/2018/CI004_GP-6861_070108_CORTOLIMA_100.09.3.1_PRESUP_COMP.pdf
28,2,,,CONSORCIO 4C,GP-8661,,,15_04_Comunic_Recibidas/2018/CI004_GP-8661_070110_CON_3345_SCTD_PTE_P6G.pdf
29,1,,,CONSORCIO 4C,GP-6981,,,15_04_Comunic_Recibidas/2018/CI004_GP-6981_070401_CON_0215_SBNA_PRDAL.pdf
22,1,,,CONSORCIO 4C,GP-7334,05/03/2018,Entrega de un (1) expediente para aprobación del Avalúo Comercial Corporativo,15_04_Comunic_Recibidas/2018/CI004_GP-7334_070401_CON_0996_EXP_AVALUO.pdf
30,4,,,CONSORCIO 4C,GP-8646,,,15_04_Comunic_Recibidas/2018/CI004_GP-8646_070401_CON_3438_INF_PREDIAL_EER_UF4.pdf
31,1,,,CONSORCIO 4C,GP-7331,,,15_04_Comunic_Recibidas/2018/CI004_GP-7331_070404_CON_0725_EXP_EXPRO.pdf
21,3,CONCESIÓN ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-7731,05/04/2018,"Entrega de soportes de los correspondientes Pagos de Seguridad Social para el mes de febrero de 2018 y Pago de Salarios del mes de enero de 2018, e ingreso de personal.",15_04_Comunic_Recibidas/2018/CI004_GP-7731_070110_CON_1369_PAGYSAL_FEB_ENE.pdf
33,1,,,CONSORCIO 4C,GP-8653,,,15_04_Comunic_Recibidas/2018/CI004_GP-8653_070402_CON_3132_EXP_SOCIAL.pdf
32,1,,,CONSORCIO 4C,GP-8061,,,15_04_Comunic_Recibidas/2018/CI004_GP-8061_070406_CON_1862_EXP_AVALUO.pdf
34,13,,,CONSORCIO 4C,GP-7711,,,15_04_Comunic_Recibidas/2018/CI004_GP-7711_070109_CON_1635_ACTAS_VECIND.pdf
20,1,CONCESION ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-8400,25/07/2018,"Respuesta comunicación CI.004/GP4533/18/7.1.9 Radicado interno ALMA-R-2018-1729, Observaciones Informe Trimestral Social N.14.",15_04_Comunic_Recibidas/2018/CI004_GP-8400_070109_CON_2841_OBS_INF_TRIMES_SCIAL14.pdf
35,1,,,CONSORCIO 4C,GP-8353,,,15_04_Comunic_Recibidas/2018/CI004_GP-8353_070401_CON_2551_EXP_PREDIAL.pdf
36,9,,,CONSORCIO 4C,GP-9185,,,15_04_Comunic_Recibidas/2018/CI004_GP-9185_070401_CON_4348_COMPRO_REUNION.pdf
37,3,,,CONSORCIO 4C,GP-7318,,,15_04_Comunic_Recibidas/2018/CI004_GP-7318_070108-070107_CON_0919_OCUP_CAUCE_UF2.pdf
38,1,,,CONSORCIO 4C,GP-9064,,,15_04_Comunic_Recibidas/2018/CI004_GP-9064_070401_CON_3881_EXP_PREDIAL.pdf
41,1,,,CONSORCIO 4C,GP-9201,,,15_04_Comunic_Recibidas/2018/CI004_GP-9201_070115_CON_4342_INF_CAMB_AISLADOR.pdf
39,11,,,CONSORCIO 4C,GP-9090,,,15_04_Comunic_Recibidas/2018/CI004_GP-9090_050300_JCHAGUANI_136_TUTELA_WHERRERA.pdf
42,2,,,CONSORCIO 4C,GP-6865,,,15_04_Comunic_Recibidas/2018/CI004_GP-6865_070303_CON_0031_COMPRO_COMITE_N44.pdf
40,21,,,CONSORCIO 4C,GP-8477,,,15_04_Comunic_Recibidas/2018/CI004_GP-8477_050300_CON_2957_EER_REUBI_REDES_GUATAQ.pdf
43,2,,,CONSORCIO 4C,GP-7017,,,15_04_Comunic_Recibidas/2018/CI004_GP-7017_070402_CON_0328_EXP_PRDAL.pdf
44,3,,,CONSORCIO 4C,GP-8748,,,15_04_Comunic_Recibidas/2018/CI004_GP-8748_070109_ANI_030658-1_RECLAMO_JBEDOYA.pdf
45,1,,,CONSORCIO 4C,GP-8947,,,15_04_Comunic_Recibidas/2018/CI004_GP-8947_070401_CON_3928_EXP_PREDIAL.pdf
46,1,,,CONSORCIO 4C,GP-8159,,,15_04_Comunic_Recibidas/2018/CI004_GP-8159_070406_CON_2261_EXP_AVALUO.pdf
47,5,,,CONSORCIO 4C,GP-8798,,,15_04_Comunic_Recibidas/2018/CI004_GP-8798_070109_CON_3543_LIBERA_BIENES_PUB.pdf
48,1,,,CONSORCIO 4C,GP-8551,,,15_04_Comunic_Recibidas/2018/CI004_GP-8551_070401_CON_3117_ESTAD_GEST_PREDIOS.pdf
49,1,,,CONSORCIO 4C,GP-8348,,,15_04_Comunic_Recibidas/2018/CI004_GP-8348_070401_CON_2543_EXP_PREDIAL.pdf
50,1,,,CONSORCIO 4C,GP-7640,,,15_04_Comunic_Recibidas/2018/CI004_GP-7640_070103_ANI_011331-1_DEFIC_PTE_PEATON.pdf
51,1,,,CONSORCIO 4C,GP-8823,,,15_04_Comunic_Recibidas/2018/CI004_GP-8823_070101_CON_3692_BARRERA_TRAFICO_PTE_SALGAR.pdf
52,4,,,CONSORCIO 4C,GP-8386,,,15_04_Comunic_Recibidas/2018/CI004_GP-8386_070108_CON_1452_OCUPA_CAUCE_K108.pdf
53,1,,,CONSORCIO 4C,GP-7585,,,15_04_Comunic_Recibidas/2018/CI004_GP-7585_070110_CON_1380_ACCIDE_PTE_SALGAR.pdf
54,2,,,CONSORCIO 4C,GP-7105,,,15_04_Comunic_Recibidas/2018/CI004_GP-7105_070109-070104_CON_0580_DP_AESQUIVEL.pdf
55,1,,,CONSORCIO 4C,GP-8126,,,15_04_Comunic_Recibidas/2018/CI004_GP-8126_070109_CON_2385_PQRS_SPATIÑO.pdf
56,1,,,CONSORCIO 4C,GP-7392,,,15_04_Comunic_Recibidas/2018/CI004_GP-7392_070103_CON_1066_COTAS_PTE_SALGAR.pdf
57,3,,,CONSORCIO 4C,GP-7854,,,15_04_Comunic_Recibidas/2018/CI004_GP-7854_050300_ANI_015242-1_PLAZ_CURA_PREDIAL.pdf
58,12,,,CONSORCIO 4C,GP-8334,,,15_04_Comunic_Recibidas/2018/CI004_GP-8334_070202_CON_2622_ESTAD_FINAN_MARZO.pdf
59,5,,,CONSORCIO 4C,GP-9221,,,15_04_Comunic_Recibidas/2018/CI004_GP-9221_070109_CON_4454_ZONA_EXCLU_PR3+500.pdf
60,11,,,CONSORCIO 4C,GP-8992,,,15_04_Comunic_Recibidas/2018/CI004_GP-8992_070109_CON_4056_PROGRA_ARQUEO_PTO_BGTA.pdf
61,3,,,CONSORCIO 4C,GP-9176,,,15_04_Comunic_Recibidas/2018/CI004_GP-9176_070500_CON_4296_MEMOTEC_AGO.pdf
62,6,,,CONSORCIO 4C,GP-8700,,,15_04_Comunic_Recibidas/2018/CI004_GP-8700_050300_CON_3538_EER_REDES_GUATAQUI.pdf
63,1,,,CONSORCIO 4C,GP-6912,,,15_04_Comunic_Recibidas/2018/CI004_GP-6912_070109_ANI_000665-1_DP_JRAMOS.pdf
64,8,,,CONSORCIO 4C,GP-7470,,,15_04_Comunic_Recibidas/2018/CI004_GP-7470_070109_JBELTRAN_250864089001_TUTL_SGAMBOA.pdf
65,1,,,CONSORCIO 4C,GP-8926,,,15_04_Comunic_Recibidas/2018/CI004_GP-8926_070406_CON_3526_EXP_AVALUO.pdf
66,6,,,CONSORCIO 4C,GP-6863,,,15_04_Comunic_Recibidas/2018/CI004_GP-6863_010400_ANI_000021-1_ACT_POLIZ_GARANT_SEG.pdf
68,2,,,CONSORCIO 4C,GP-6894,,,15_04_Comunic_Recibidas/2018/CI004_GP-6894_070401_CON_0096_EXP_PREDIAL.pdf
69,1,,,CONSORCIO 4C,GP-7812,,,15_04_Comunic_Recibidas/2018/CI004_GP-7812_070406_CON_1805_EXP_AVALUO.pdf
67,1,,,CONSORCIO 4C,GP-9318,,,15_04_Comunic_Recibidas/2018/CI004_GP-9318_070108_CON_4577_INF_4_RESOL_1928.pdf
70,2,,,CONSORCIO 4C,GP-8316,,,15_04_Comunic_Recibidas/2018/CI004_GP-8316_070110_CON_2738_CONDI_SEG_UF5.pdf
71,1,,,CONSORCIO 4C,GP-7335,,,15_04_Comunic_Recibidas/2018/CI004_GP-7335_070107_CON_0974_DISEÑ_GEOM_UF5.4.pdf
72,7,,,CONSORCIO 4C,GP-8686,,,15_04_Comunic_Recibidas/2018/CI004_GP-8686_070108_CON_3445_COMPENSA_AMB.pdf
73,1,,,CONSORCIO 4C,GP-7130,,,15_04_Comunic_Recibidas/2018/CI004_GP-7130_070107_CON_0597_DISE_HIDROS_K80.pdf
74,1,,,CONSORCIO 4C,GP-8023,,,15_04_Comunic_Recibidas/2018/CI004_GP-8023_070401_CON_2285_SABANA_PREDIAL.pdf
75,1,,,CONSORCIO 4C,GP-7950,,,15_04_Comunic_Recibidas/2018/CI004_GP-7950_070404_CON_1582_EXP_EXPRO.pdf
76,5,,,CONSORCIO 4C,GP-8237,,,15_04_Comunic_Recibidas/2018/CI004_GP-8237_070108-070109_CON_2573_SEG_GLORIET_PURNIO.pdf
78,1,,,CONSORCIO 4C,GP-6930,,,15_04_Comunic_Recibidas/2018/CI004_GP-6930_070401_CON_5337_EXP_PRDAL.pdf
77,2,,,CONSORCIO 4C,GP-7612,,,15_04_Comunic_Recibidas/2018/CI004_GP-7612_070110_CON_1377_SEGUI_PAG_SAL.pdf
79,1,,,CONSORCIO 4C,GP-6910,,,15_04_Comunic_Recibidas/2018/CI004_GP-6910_070401_CON_0044_GESTION_PREDIAL_PLAN_OBRAS_V05_R2.pdf
80,2,,,CONSORCIO 4C,GP-8020,,,15_04_Comunic_Recibidas/2018/CI004_GP-8020_070402_CON_2258_EXP_SOCIAL.pdf
81,1,,,CONSORCIO 4C,GP-7908,,,15_04_Comunic_Recibidas/2018/CI004_GP-7908_070107_CON_2014_DISÑ_GLORIET_UF5.pdf
82,4,,,CONSORCIO 4C,GP-8803,,,15_04_Comunic_Recibidas/2018/CI004_GP-8803_070115_CON_3765_ACTA_REDES_10.pdf
83,1,,,CONSORCIO 4C,GP-9072,,,15_04_Comunic_Recibidas/2018/CI004_GP-9072_070103_CON_4179_PRUEBAS_PTES_UF5.pdf
84,5,,,CONSORCIO 4C,GP-8879,,,15_04_Comunic_Recibidas/2018/CI004_GP-8879_070109_CON_3875_ZONA_EXCLUS_PR24.pdf
85,5,,,CONSORCIO 4C,GP-8479,,,15_04_Comunic_Recibidas/2018/CI004_GP-8479_070103-090300_CON_2979_SEGUI_CICLORUT_UF2.pdf
86,3,,,CONSORCIO 4C,GP-7548,,,15_04_Comunic_Recibidas/2018/CI004_GP-7548_070107_CON_1325_SEGUI_PAVI_UF5.4.pdf
87,6,,,CONSORCIO 4C,GP-7235,,,15_04_Comunic_Recibidas/2018/CI004_GP-7235_070109_CON_0813_PQRS_JGALVEZ.pdf
88,1,,,CONSORCIO 4C,GP-7244,,,15_04_Comunic_Recibidas/2018/CI004_GP-7244_090200_CON_0788_SCTD_INF_INTERV.pdf
89,9,,,CONSORCIO 4C,GP-7942,,,15_04_Comunic_Recibidas/2018/CI004_GP-7942_070115-070201_CON_2053_MANEJ_SUBCTA_REDES.pdf
91,1,,,CONSORCIO 4C,GP-9189,,,15_04_Comunic_Recibidas/2018/CI004_GP-9189_070406_CON_4417_EXP_AVALUO.pdf
92,5,,,CONSORCIO 4C,GP-8881,,,15_04_Comunic_Recibidas/2018/CI004_GP-8881_070109_CON_3877_LIBERA_ESPAC_PUB.pdf
90,1,,,CONSORCIO 4C,GP-7142,,,15_04_Comunic_Recibidas/2018/CI004_GP-7142_070402_CON_0415_EXP_SCIAL_UF3.pdf
93,1,,,CONSORCIO 4C,GP-8539,,,15_04_Comunic_Recibidas/2018/CI004_GP-8539_070406_CON_3151_EXP_AVALUO.pdf
94,1,,,CONSORCIO 4C,GP-8433,,,15_04_Comunic_Recibidas/2018/CI004_GP-8433_070108_CON_2909_PRORROG_TEMP_SVC-09031.pdf
95,13,,,CONSORCIO 4C,GP-9347,,,15_04_Comunic_Recibidas/2018/CI004_GP-9347_050300_ANI_041232-1_PRESUNTOS_EER.pdf
96,1,,,CONSORCIO 4C,GP-8228,,,15_04_Comunic_Recibidas/2018/CI004_GP-8228_070401_CON_2110_EXP_PREDIAL.pdf
97,1,,,CONSORCIO 4C,GP-7218,,,15_04_Comunic_Recibidas/2018/CI004_GP-7218_070303_CON_0746_MEDI_INDICA.pdf
98,1,,,CONSORCIO 4C,GP-9262,,,15_04_Comunic_Recibidas/2018/CI004_GP-9262_050200_CON_4526_INF_PASOS_URBAN_V2.pdf
99,1,,,CONSORCIO 4C,GP-7034,,,15_04_Comunic_Recibidas/2018/CI004_GP-7034_070108_CON_0341_PDT_CIER_AMB.pdf
100,1,,,CONSORCIO 4C,GP-9031,,,15_04_Comunic_Recibidas/2018/CI004_GP-9031_070108_CON_3689_OBS_INF_TRIM_15_V2.pdf
101,1,,,CONSORCIO 4C,GP-9078,,,15_04_Comunic_Recibidas/2018/CI004_GP-9078_070108_CON_4190_INFORME_N°1_EXPLO_MATERIAL.pdf
103,1,,,CONSORCIO 4C,GP-8841,,,15_04_Comunic_Recibidas/2018/CI004_GP-8841_070304_ANI_032686-1_OBS_RECOR_NOCTU.pdf
104,1,,,CONSORCIO 4C,GP-6929,,,15_04_Comunic_Recibidas/2018/CI004_GP-6929_070401_CON_5281_EXP_UF3_EXPRO.pdf
102,1,,,CONSORCIO 4C,GP-9032,,,15_04_Comunic_Recibidas/2018/CI004_GP-9032_070401_CON_4010_RESTITU_TIERRAS.pdf
105,1,,,CONSORCIO 4C,GP-6953,,,15_04_Comunic_Recibidas/2018/CI004_GP-6953_070401_CON_0224_EXPD_PRDAL_UF2.pdf
106,1,,,CONSORCIO 4C,GP-9086,,,15_04_Comunic_Recibidas/2018/CI004_GP-9086_070401_CON_3883_EXP_PREDIAL.pdf
107,3,,,CONSORCIO 4C,GP-6971,,,15_04_Comunic_Recibidas/2018/CI004_GP-6971_070108-070107_CON_0251_OCUP_CAUCE_UF3.pdf
108,3,,,CONSORCIO 4C,GP-7543,,,15_04_Comunic_Recibidas/2018/CI004_GP-7543_070108_CON_1319_RTA_AUTO_GSC_ZC130.pdf
109,1,,,CONSORCIO 4C,GP-8014,,,15_04_Comunic_Recibidas/2018/CI004_GP-8014_070404_CON_1990_EXP_EXPRO.pdf
110,1,,,CONSORCIO 4C,GP-7360,,,15_04_Comunic_Recibidas/2018/CI004_GP-7360_070404_CON_0989_EXP_EXPRO.pdf
111,1,,,CONSORCIO 4C,GP-9260,,,15_04_Comunic_Recibidas/2018/CI004_GP-9260_070404_CON_4493_EXP_EXPRO.pdf
112,1,,,CONSORCIO 4C,GP-7532,,,15_04_Comunic_Recibidas/2018/CI004_GP-7532_070401_CON_0526_EXP_AVALUO.pdf
113,3,,,CONSORCIO 4C,GP-8123,,,15_04_Comunic_Recibidas/2018/CI004_GP-8123_070401_ANI_019148_CONT_ESTATAL.pdf
115,5,CONCESIÓN ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-9071,21/06/2018,Respuesta a su comunicación CI.004/GP4066/18/7.1.10 del 14 marzo de 2018 (Radicado ALMA-R-2018-0874) Condiciones de seguridad UF 3 Semana 160.,15_04_Comunic_Recibidas/2018/CI004_GP-9071_070110_CON_2401_CONDI_SEG_UF3.pdf
116,1,CONCESION ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-8752,11/09/2018,Entrega de un (1) expediente para aprobación del Avalúo Comercial Corporativo de la unidad funcional 3.,15_04_Comunic_Recibidas/2018/CI004_GP-8752_070406_CON_3529_EXP_AVALUO.pdf
114,2,CONCESION ALTO MAGDALENA S.A.S,,CONSORCIO 4C,GP-8415,27/07/2018,Comunicación CI.004/GP3917/18/7.1.7 – Radicado ALMA-R-2018-0590 del 16 de febrero de 2018. Revisión señalización táctil – Andenes.,15_04_Comunic_Recibidas/2018/CI004_GP-8415_070107_CON_2860_SEÑALIZA_TACTIL_ANDEN.pdf
117,1,CONCESIÓN ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-8169,25/06/2018,Su comunicación CI.004/GP4488/18/7.1.7 – Radicado ALMA-R-2018-1663 del 24 de mayo de 2018. Seguimiento de obra condiciones de Pilas Puente P11G K55+500 – UF3.,15_04_Comunic_Recibidas/2018/CI004_GP-8169_070107_CON_2426_PILAS_PTE_P11G.pdf
118,10,,,CONSORCIO 4C,GP-8636,29/08/2018,Seguimiento procesos constructivos puente Guarino,15_04_Comunic_Recibidas/2018/CI004_GP-8636_070103_ANI_028210-1_SEGUI_PTE_GUARINO.pdf
119,3,CONCESION ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-7294,26/02/2018,Respuesta a comunicado Identificada como PQRS UF2 2018 264 – Condominio Algarrrobos.,15_04_Comunic_Recibidas/2018/CI004_GP-7294_070103-070109-070108_CON_0910_PQR_ALGARROB.pdf
120,1,CONCESION ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-7972,25/04/2018,"Respuesta a su comunicación, CI.004/GP4177/18/7.4.1 del 2 de Abril de 2018 (Rad. Interno ALMA-R-2018-1085), Entrega de un (1) expediente predial de la unidad funcional 3 para aprobación de ficha predial.",15_04_Comunic_Recibidas/2018/CI004_GP-7972_070401_CON_1647_EXP_PREDIAL.pdf
121,4,CONCESIÓN ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-8866,04/10/2018,"Ref. Contrato de Concesión bajo esquema APP N° 003-2014 – “La financiación, construcción, rehabilitación, mejoramiento, operación y mantenimiento del corredor Honda – Puerto Salgar – Girardot, de acuerdo con el Apéndice Técnico 1 y demás Apéndices del Contrato.” Respuesta comunicaciones CI.004/GP4735/18/7.1.7 (Radicado ALMA-R-2018-2091) del 28 de junio de 2018. Y CI.004/GP5171/18/7.1.7 (Radicado ALMA-R-2018-2878) del 13 de septiembre de 2018 y CI.004/GP5285/18/5.3 (Radicado ALMA-R-2018-3074) del 28 de septiembre de 2018. Solicitud No objeción Plazo de Cura.",15_04_Comunic_Recibidas/2018/CI004_GP-8866_050300_CON_3873_PLAZO_CURA_COLAS.pdf
122,1,CONCESIÓN ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-9361,12/12/2018,"Indicador E-15, Ficha Técnica SIPUCOL y Memoria Técnica Puente P14 - UF3",15_04_Comunic_Recibidas/2018/CI004_GP-9361_070303-090300_CON_4664_MEMO_TEC_PTE_P14.pdf
123,4,,,CONSORCIO 4C,GP-8704,11/09/2018,"Cumplimiento al numeral 3.3.7 Seguridad Vial del Apéndice Técnico 2 del Contrato de Concesión. - Proyecto Girardot – Honda – Puerto Salgar, Contrato de Concesión 003 de 2014. Alto Magdalena S.A.S.",15_04_Comunic_Recibidas/2018/CI004_GP-8704_070600_ANI_030110-1_CUMPLI_N°3.3.7_SEG_VIAL.pdf
124,2,,,CONSORCIO 4C,GP-8013,06/06/2018,Respuesta Solicitud concepto integral para la puesta en operación del puente sobre el Río Magdalena – Unidad Funcional 1– Contrato de Concesión No 003 de 2014. Concesión Girardot – Honda – Puerto Salgar.,15_04_Comunic_Recibidas/2018/CI004_GP-8013_050300_ANI_017342-1_OPERA_PTE_UF1.pdf
126,1,CONCESION ALTO MAGDALENA S.A.S.,,CONSORCIO 4C,GP-7544,02/04/2018,Ajuste Diseño Geométrico entre el K67+300 y el K68+199 – Unidad Funcional 3,15_04_Comunic_Recibidas/2018/CI004_GP-7544_070107_CON_1321_DISEÑ_GEOME_K67.pdf
