ÍTEM,DEL FOLIO/PAGINAS,RAZON SOCIAL REMITENTE,No. RADICADO REMITENTE,RAZON SOCIAL DESTINATARIO,No. RADICADO DESTINATARIO,FECHA (DD/MM/AAAA),ASUNTO / TIPO DOCUMENTAL,UBICACION_ARCHIVO
19,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-0646,CONSORCIO 4C,GP-15674,12/05/2022,"Entrega Informe Final, Resolución No. 1701 del 17 de julio de 2015, UF... ALMA-2022-0646 REFERENCIA: Contrato de Concesión bajo esquema APP N° 003-2014 – “La financiación, ASUNTO: Entrega Informe Final, Resolución No. 1701 del 17 de julio de 2015, UF 5.1, "" Por Ia cual se efectúa un Levantamiento Parcial de Veda y se toman otras corredor Honda – Puerto Salgar – Girardot de acuerdo con el Apéndice Técnico En cumplimiento de la obligación establecida en el artículo 7 de la Resolución 1701 del 17 de Puente Sobre el Rio Magdalena”, el Concesionario se permite remitir el informe final de CLAUDIA CECILIA CASTILLO PICO Firmado digitalmente por CLAUDIA CECILIA CASTILLO PICO Fecha: 2022.05.12 15:23:44 -05'00'",15_04_Comunic_Recibidas/2022/CI004_GP-15674_070108_CON_0646_INF_FINAL_RESOL_1701.pdf
20,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-0367,CONSORCIO 4C,GP-15433,15/03/2022,"Solicitud aval predio la Aurora - implementación propuesta enriquecimiento vegetal en cumplimiento del permiso de levantamiento de veda otorgado por la Res 1082 del 13 de junio de 2018. Exp. ATV 0788, DBBSE. EXPEDIENTE: LAV0068- 00-2015",15_04_Comunic_Recibidas/2022/CI004_GP-15433_070108_CON_0367_SCTUD_PREDIO_AURORA.pdf
21,4,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-0348,CONSORCIO 4C,GP-15416,08/03/2022,Respuesta definitiva PQRS UF5 2019 797 – Solicitud adecuación de acceso colindante con el Colegio San Diego Km 1 vía La Dorada – Honda.,15_04_Comunic_Recibidas/2022/CI004_GP-15416_070109_CON_0348_RTA_PQRS_UF5_ACCESO_KM1.pdf
22,6,CONCESIÓN ALTO MAGDALENA S.A.S.,"CI.004/GP9777/22/7.3.3, CI.004/GP9845/22/7.3",CONSORCIO 4C,GP-15633,04/05/2022,Respuesta comunicados CI.004/GP9777/22/7.3.3 (Rad. Int ALMA-R-2022-0151) Resultado Medición Niveles de Servicio enero 2022 y CI.004/GP9845/22/7.3.(Rad. Int. ALMA-R-2022-0307) Resultado Medición Niveles de Servicio febrero 2022.,15_04_Comunic_Recibidas/2022/CI004_GP-15633_070303_CON_0603_RESULT_MEDI_NIVEL_SERV.pdf
23,1,Agencia Nacional de Infraestructura,20223040082003,CONSORCIO 4C,GP-15965,07/07/2022,Segundo requerimiento para continuar con el trámite del permiso solicitado por LUIS GUILLERMO MONTAÑA NARVÁEZ (Parque Recreativo El Cortijo) / Girardot – Honda – Puerto Salgar / Expediente No. 20213040280200193E/ Radicado Borrador No. 20223040035537 del 21 de junio de 2022,15_04_Comunic_Recibidas/2022/CI004_GP-15965_070114_ANI_019821-1_PERMI_USO_EL_CORTIJO.pdf
24,1,CONCESIÓN ALTO MAGDALENA S.A.S.,CI004_GP-15343_070108,CONSORCIO 4C,GP-15343,11/02/2022,Cumplimiento obligación artículo primero Auto DRAM No. 03216001582 del 3/12/2021 (ALMA-R-2021-1869). Entrega informe medida compensatoria Resolución No. 0355 del 17 de febrero de 2016. Expediente 51714,15_04_Comunic_Recibidas/2022/CI004_GP-15343_070108_CON_0226_INF_COMPENSA_EXP_51714.pdf
26,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-1087,CONSORCIO 4C,GP-16027,27/07/2022,Remisión avalúos Otrosí 9 para aprobación definitiva.,15_04_Comunic_Recibidas/2022/CI004_GP-16027_070406_CON_1087_APROBA_AVALUOS_OTROSI_9.pdf
25,3,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-0801,CONSORCIO 4C,GP-15798,09/06/2022,Respuesta comunicación CI.004/GP9983/22/7.1.8 (Rad. Int. ALMA-R-2022-0631 - 12/05/2022). Seguimiento compromisos comité Ambiental No. 29.,15_04_Comunic_Recibidas/2022/CI004_GP-15798_070108_CON_0801_SEG_COMPRO_COMIT_AMB_N29.pdf
27,2,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-1000,CONSORCIO 4C,GP-15933,01/07/2022,Solicitud de Plan local de seguridad vial del municipio de Dorada.,15_04_Comunic_Recibidas/2022/CI004_GP-15933_070300_CON_1000_PLAN_LOCAL_SEG_VIAL_DORADA.pdf
31,4,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-0922,CONSORCIO 4C,GP-15884,22/06/2022,"Solicitud inclusión memorando DESCA 20213043001 del 17 de junio de 2021 al permiso de ocupación de cauce otorgado, que reposa en el Expediente 52039.",15_04_Comunic_Recibidas/2022/CI004_GP-15884_070108_CON_0922_INCLUS_MEMO_DESCA_EXP_52039.pdf
30,7,Agencia Nacional de Infraestructura,CI.004/GP9925/22/5.3-7.1.7,CONSORCIO 4C,GP-15730,24/05/2022,Respuesta a su comunicado No.CI.004/GP9925/22/5.3-7.1.7 con radicado ANI No. 20224090442032 del 21 de abril de 2022 – No objeción Plazo de Cura por el presunto incumplimiento en la presentación de los Documentos necesarios para la Implementación de un Tercer Carril de Ascenso en el tramo vial K126/K127 – UF4.Contrato de Interventoría No. 145 de 2014 – Proyecto Girardot – Honda – Puerto Salgar. Consorcio 4C.,15_04_Comunic_Recibidas/2022/CI004_GP-15730_050300-070107_ANI_014985-1_PLAZ_CURA_IMPLEM_CARRIL_K126.pdf
35,1,Fiduciaria Bogotá,FID - INTV 0123,CONSORCIO 4C,GP-16034,02/08/2022,RENDICIÓN SEMESTRAL DEL 1 AL 30 DE JUNIO DE 2022 FIDEICOMISO FIDUBOGOTA–CONCESION ALTO MAGDALENA 3-1- 63664,15_04_Comunic_Recibidas/2022/CI004_GP-16034_070200_FBTA_FID-INTV0123_RENDICION_SEM_JUN22.pdf
34,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-0409,CONSORCIO 4C,GP-15463,24/03/2022,"Solicitud aval predio “Humedales la Esperanza” para implementación propuesta siembra del rescate de brinzales ficha PMS 5.1-14 y enriquecimiento vegetal en cumplimiento del permiso de levantamiento de veda Resolución 2284 del 03 de noviembre de 2015, “Exp. ATV 0247, DBBSE. Expediente LAV0068-00-2015",15_04_Comunic_Recibidas/2022/CI004_GP-15463_070108_CON_0409_SCTUD_AVAL_HUMEDAL_ESPERANZA.pdf
33,4,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-1004,CONSORCIO 4C,GP-15935,01/07/2022,Respuesta comunicado CI.004/GP9732/22/7.1.9 – 14/01/2022 (Rad. int. ALMA-R- 2020-0060). Cumplimiento obligaciones Programa Apoyo Capacidad Gestión Institucional. Invasión al espacio público por ocupantes irregulares en el sector de la Glorieta Purnio La Dorada–Caldas.,15_04_Comunic_Recibidas/2022/CI004_GP-15935_070109_CON_1004_INVASION_ESPAC_PUB_PURNIO.pdf
37,2,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-0589,CONSORCIO 4C,GP-15628,04/05/2022,Respuesta comunicación CS-D1-163-2022 del 22/03/2022 (Rad. Int. ALMA-R- 2022-0437) – Solicitud permiso instalación de dos señales tipo cruce de vía terrestre red vial 45CLB Troncal del Magdalena – Sector Variante La Dorada – Puerto Salgar.,15_04_Comunic_Recibidas/2022/CI004_GP-15628_070300_CON_0589_PERMI_INSTALA_SEÑALES_VIA_45CLB.pdf
36,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-0877,CONSORCIO 4C,GP-15840,17/06/2022,Entrega informe mantenimientos primer y segundo año medida compensatoria Resolución 0553 del 9 de marzo de 2016 modificada por la Resolución 2827 del 29 de diciembre de 2016. Expediente 51988.,15_04_Comunic_Recibidas/2022/CI004_GP-15840_070108_CON_0877_INF_MEDI_COMPENSA_EXP_51988.pdf
38,4,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-0920,CONSORCIO 4C,GP-15882,22/06/2022,"Solicitud inclusión memorando DESCA 20213043001 del 17 de junio de 2021 al permiso de ocupación de cauce otorgado, que reposa en el Expediente 52033.",15_04_Comunic_Recibidas/2022/CI004_GP-15882_070108_CON_0920_INCLUS_MEMO_DESCA_EXP_52033.pdf
39,1,Agencia Nacional de Infraestructura,20223040092551,CONSORCIO 4C,GP-15519,05/04/2022,"Información complementaria a Solicitud No.2 de concepto técnico para el permiso de uso, la ocupación y la intervención temporal de la infraestructura vial presentada por EMPRESAS PÚBLICAS DE MEDELLÍN E.S.P/ Proyecto vial Girardot – Honda – Puerto Salgar. Al responder favor citar el expediente: 20223040280200004E",15_04_Comunic_Recibidas/2022/CI004_GP-15519_070114_ANI_009255-1_PERMI_USO_EPM.pdf
40,4,Agencia Nacional de Infraestructura,CI.004/GP9729/22/5.3-7.5,CONSORCIO 4C,GP-15459,24/03/2022,Respuesta a su comunicado No. CI.004/GP9729/22/5.3-7.5 con radicados ANI No. 20224090035112 del 13 de enero de 2022 – No objeción Plazo de Cura por el Incumplimiento en la entrega de los Planos Récord del Proyecto. Contrato de Interventoría No. 145 de 2014 – Proyecto Girardot – Honda – Puerto Salgar. Consorcio 4C.,15_04_Comunic_Recibidas/2022/CI004_GP-15459_050300-070500_ANI_007782-1_PLAZ_CURA_PLANOS_RECORD.pdf
42,2,CONCESIÓN ALTO MAGDALENA S.A.S.,CI.004/GP9819/22/7.1.9,CONSORCIO 4C,GP-15443,08/03/2022,Respuesta comunicado CI.004/GP9819/22/7.1.9 (Rad int. ALMA-R-2022-0275) Revisión actas de vecindad.,15_04_Comunic_Recibidas/2022/CI004_GP-15443_070109_CON_0346_REV_ACTAS_VECINDAD.pdf
43,4,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-0642,CONSORCIO 4C,GP-15671,12/05/2022,Solicitud modificación literal C artículo tercero Acuerdo 019 del 21/06/2016 modificado por el Acuerdo 016 de 21/05/2019- Sustracción 7.04 ha DMI Cuchilla de San Antonio y la Laguna del Coco.,15_04_Comunic_Recibidas/2022/CI004_GP-15671_070108_CON_0642_SCTUD_MODIFI_ACUERD_019.pdf
44,1,Fiduciaria Bogotá,CI004_GP-16267,CONSORCIO 4C,GP-16267,16/09/2022,SOPORTES SUBCUENTAS JUL - AGO 2022 - P.A. ALTO MAGDALENA,15_04_Comunic_Recibidas/2022/CI004_GP-16267_070201_FBTA_004149_SOPORTE_SUBCTAS_JUL_AGO.pdf
45,2,FIDUCIARIA BOGOTÁ,No especificado en el correo electrónico (solo se menciona circular ANI 20215000000314),CONSORCIO 4C,GP-16306,23/08/2022,Consignaciones FOSEVI *** Peaje Guataquí - Cambao - Brisas** P.A. Alto Magdalena,15_04_Comunic_Recibidas/2022/CI004_GP-16306_070208_FBTA_SINNUMERO_FOSEVI_AGO22.pdf
46,2,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-1480,CONSORCIO 4C,GP-16377,13/10/2022,Cumplimiento obligación pago servicio de seguimiento y control ambiental. Auto DRBM No. 04226000754 de 25/08/2022 (Rad. Int ALMA-R-2022-1257 del 30/08/2022). Expediente 60234,15_04_Comunic_Recibidas/2022/CI004_GP-16377_070108_CON_1480_PAG_SERV_SEG_AMB_EXP_60234.pdf
47,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-0892,CONSORCIO 4C,GP-16283,17/06/2022,Entrega informe mantenimientos primer y segundo año medida compensatoria en cumplimiento de la Resolución 061 del 3 de mayo de 2016. Expediente 54097.,15_04_Comunic_Recibidas/2022/CI004_GP-16283_070108_CON_0892_MED_COMPENSA_EXP_54097.pdf
48,2,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-1491,CONSORCIO 4C,GP-16389,13/10/2022,Cumplimiento obligación pago servicio de seguimiento y control ambiental. Auto DRAM No. 03226001203 de 26/08/2022 (Rad. Int. ALMA-R-2022-1292 del 05/09/2022). Expediente 51721,15_04_Comunic_Recibidas/2022/CI004_GP-16389_070108_CON_1491_PAG_SERV_SEG_AMB_EXP_51721.pdf
49,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-1524,CONSORCIO 4C,GP-16398,19/10/2022,Solicitud de conexión provisional de medidor de energía No. 000019102531.,15_04_Comunic_Recibidas/2022/CI004_GP-16398_070115_CON_1524_REITERA_CAMBIO_MEDIDOR_ENERGIA.pdf
50,19,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-0706,CONSORCIO 4C,GP-15713,23/05/2022,Descargos del Auto DRAM No. 03226000514 de 29 Abril del 2022. “Por la cual se formulan cargos y se toman otras determinaciones”. REFERENCIA: Expediente: 90146 – Proceso sancionatorio ambiental iniciado mediante Auto DRAM No. 03216001541 del 3 de diciembre de 2021.,15_04_Comunic_Recibidas/2022/CI004_GP-15713_070108_CON_0706_EXP_90146_PROC_SANCION_AMB.pdf
51,2,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-0200,CONSORCIO 4C,GP-15326,08/02/2022,Seguimiento programa de atención al usuario. PQRS de la UF3 - Revisión 2,15_04_Comunic_Recibidas/2022/CI004_GP-15326_070109_CON_0200_SEG_PQRS_UF3_R2.pdf
54,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-0779,CONSORCIO 4C,GP-15786,08/06/2022,"Entrega medición y autoevaluación programas de Capacitación a la Comunidad, Acompañamiento a la Gestión Socio Predial y Apoyo a la Capacidad de Gestión institucional, correspondiente al I semestre de 2022.",15_04_Comunic_Recibidas/2022/CI004_GP-15786_070109_CON_0779_ENTREG_MEDI_PROG_COMUNIDAD.pdf
55,3,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-0811,CONSORCIO 4C,GP-15801,10/06/2022,Respuesta comunicado radicado CI.004/GP9707/22/7.3.3 (ALMA-R-2022-0247) Niveles de Servicio Ciclorruta – noviembre 2021. Rta. Comunicación ALMA-2021- 1905.,15_04_Comunic_Recibidas/2022/CI004_GP-15801_070303_CON_0811_NIVEL_SERVI_CICLO_RUTA.pdf
56,1,Fiduciaria Bogotá S.A.,CI004_GP-16411_070208_FBTA,CONSORCIO 4C,GP-16411,27/10/2022,Notificación pago fondo de seguridad vial FOSEVI mes septiembre 2022.,15_04_Comunic_Recibidas/2022/CI004_GP-16411_070208_FBTA_SINNUMERO_FOSEVI_SEP22.pdf
58,2,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-1489,CONSORCIO 4C,GP-16387,13/10/2022,Cumplimiento obligación pago servicio de seguimiento y control ambiental. Auto DRAM No. 03226001204 de 26/08/2022 (Rad. Int. ALMA-R-2022-1254 del 30/08/2022). Expediente 51722,15_04_Comunic_Recibidas/2022/CI004_GP-16387_070108_CON_1489_PAG_SERV_SEG_AMB_EXP_51722.pdf
57,4,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-0647,CONSORCIO 4C,GP-15665,12/05/2022,Pagos FONSECON Ley 1106 de 2016 - Abril 2022.,15_04_Comunic_Recibidas/2022/CI004_GP-15665_070201_CON_0647_PAG_FONSECON_ABR22.pdf
61,3,Agencia Nacional de Infraestructura - ANI,CI004_GP-16251_070300_ANI_001435,CONSORCIO 4C,GP-16251,15/09/2022,"NOTIFICACIÓN POR MEDIO ELECTRÓNICO Resolución No. 1435 de 2022 De acuerdo con lo establecido en el Artículo 56 del Código de Procedimiento Administrativo y de lo Contencioso Administrativo (Ley 1437 de 2011), y según autorización otorgada por usted(es), se notifica el acto administrativo indicado en el asunto, del cual se adjunta copia íntegra en 6 páginas, entendiéndose notificado en los términos señalados en el inciso final del artículo 56 ibídem. Contra el acto administrativo que se está notificando procede recurso de reposición, según dispone el acto, el cual podrá interponerse ante esta entidad, dirigida al funcionario que expidió el mismo, en la Agencia Nacional de Infraestructura - ANI ubicada en la Calle 26 No. 59-51 Edificio T3 Torre 4 Piso 2 Centro Empresarial Sarmiento Angulo, en la ciudad de Bogotá, D.C., dentro de los 10 días siguientes a ésta notificación, presentado en los términos y condiciones a que se refieren los artículos 76 y 77 del Código de Procedimiento Administrativo y de lo Contencioso Administrativo. Una vez notificada la resolución usted podrá hacer uso del aplicativo a través del cual podrá verificar los términos y las condiciones en que deben ser expedidas las pólizas que se establecen en el Artículo Cuarto del Acto Administrativo de la referencia, al cual podrá acceder mediante el link https://orfeo.ani.gov.co/simulador/ o a través de la página 15/9/22, 16:57 Correo de Interventoría Consorcio 4C - NOTIFICACIÓN POR MEDIO ELECTRÓNICO Resolución No. 1435 de 2022 https://mail.google.com/mail/u/1/?ik=0d125c1ca2&view=pt&search=all&permthid=thread-f%3A1744074387819812210&simpl=msg-f%3A1744074387… 2/3 https://www.ani.gov.co/modo-carretero-y-ferreo. En el video que se encuentra en la página se muestra de una manera didáctica el aplicativo. Anexo: Resolución 1435 de 2022 cc. N/A Cualquier inconveniente o inconsistencia en el contenido o anexo de éste correo por favor reportarlo al correo lpabon@ani.gov.co Nota: Nos permitimos informar que la dirección de correo electrónico notificaciones@ani.gov.co es exclusiva para la notificación y/o comunicación de los actos administrativos expedidos por la entidad, si desea realizar una Petición, queja, reclamo o solicitud diferente a la notificación o comunicación de un acto administrativo expedido por la ANI, debe enviar su PQRS al correo electrónico contactenos@ani.gov.co y así podrá obtener un número de radicado de entrada de la misma. Este documento ha sido generado por el sistema con los datos que se encontraban en el mismo en el momento de su creación notificaciones Servicios Vicepresidencia Jurídica CUENTA DE SERVICIO PBX: 571 - 484 8860 Ext: 1344 Calle 24 A Nro. 59 - 42 Edificio T3 Torre 4 Piso 2 Bogotá D.C. – Colombia - www.ani.gov.co “Resolución 0666 del 24 de abril de 2020 expedida por el Ministerio de Salud y Protección Social Principales medidas de bioseguridad: Lávese las manos frecuentemente. Use el tapabocas cubriendo nariz y boca. Practique el distanciamiento físico. Lo invitamos a descargar y reportar diariamente su condición de salud en la Aplicación CoronApp-Colombia o en Alissta si está afiliado a la ARL POSITIVA. La información contenida en este correo electrónico es propiedad de la Agencia Nacional de Infraestructura.: es confidencial y para uso exclusivo de el (los) destinatario(s) / En la Agencia Nacional de Infraestructura respetamos y garantizamos que los datos personales suministrados por usted, a través de nuestros canales de comunicación, estén protegidos y no se divulgarán sin su consentimiento. Cumplimos con nuestra política de Confidencialidad y Protección de Datos. Si quiere conocerla lo invitamos a consultarla aquí. Si ha recibido este mensaje por error, por favor notifíqueselo inmediatamente al remitente: no copie, imprima, distribuya ni difunda su contenido. Las opiniones, conclusiones e informaciones que no estén relacionadas directamente con el negocio de la Agencia Nacional de Infraestructura. deben entenderse como personales y no están avaladas por la compañía. 15/9/22, 16:57 Correo de Interventoría Consorcio 4C - NOTIFICACIÓN POR MEDIO ELECTRÓNICO Resolución No. 1435 de 2022 https://mail.google.com/mail/u/1/?ik=0d125c1ca2&view=pt&search=all&permthid=thread-f%3A1744074387819812210&simpl=msg-f%3A1744074387… 3/3 RES_1435_2022.pdf 270K",15_04_Comunic_Recibidas/2022/CI004_GP-16251_070300_ANI_001435-5_REMISION_RESOL_1435.pdf
62,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-0889,CONSORCIO 4C,GP-15855,17/06/2022,Entrega informe mantenimientos primer y segundo año medida compensatoria Resolución 2437 del 11 de septiembre de 2017. Expediente 60234.,15_04_Comunic_Recibidas/2022/CI004_GP-15855_070108_CON_0889_INF_MEDI_COMPENSA_EXP_60234.pdf
63,4,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2022-0437,CONSORCIO 4C,GP-15489,01/04/2022,Reporte aprovechamiento forestal otorgado por medio de acta de visita para árboles en riesgo. Expediente con radicado No 00173.,15_04_Comunic_Recibidas/2022/CI004_GP-15489_070108-070300_CON_0437_APROVE_FORESTAL_EXP_00173.pdf
