ÍTEM,DEL FOLIO/PAGINAS,RAZON SOCIAL REMITENTE,No. RADICADO REMITENTE,RAZON SOCIAL DESTINATARIO,No. RADICADO DESTINATARIO,FECHA (DD/MM/AAAA),ASUNTO / TIPO DOCUMENTAL,UBICACION_ARCHIVO
8,12,CONCESIONARIA SAN RAFAEL S.A.,NO IDENTIFICADO,CONCESIÓN ALTO MAGDALENA S.A.S.,GP-4712,29/03/2017,"Remisión Resolución 1685 de 24 de diciembre de 2015, Licencia Ambiental correspondiente al proyecto “UNIDAD FUNCIONAL 1, CONSTRUCCIÓN DE LA VARIANTE FLANDES – GIRARDOT, INCLUYE PUENTE SOBRE EL RÍO MAGDALENA (CORREDOR - HONDA - PUERTO SALGAR-GIRARDOT).",15_04_Comunic_Recibidas/2017/CI004_GP-4712_070108_CON_1108_LICENCI_AMBIENTAL_UF1.pdf
13,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALM-2017-2147,CONSORCIO 4C,GP-0041,01/06/2017,"Ref. Entrega de cuatro (3) expedientes prediales de la unidad funcional 3, para aprobación de ficha predial.",15_04_Comunic_Recibidas/2017/CI004_GP-5241_070401_CON_2147_ENTRE_(4)_EXPEDI_PREDI_UF3_APROBA_FICH_PREDI.pdf
14,2,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2017-0112,INSTITUTO GEOGRÁFICO AGUSTÍN CODAZZI - IGAC,GP-3993,10/01/2017,Actualización Información Catastral,15_04_Comunic_Recibidas/2017/CI004_GP-3993_070400_CON_0112_ACTUALI_INFO_CATASTRAL.pdf
12,7,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,CORPORACIÓN AUTÓNOMA REGIONAL DE CUNDINAMARCA - CAR,GP-4663,28/03/2017,"Solicitud de desistimiento de la construcción de la obra hidráulica aprobada mediante Resolución No. 430 del 25 de febrero de 2016, Expediente 51847 – Unidad Funcional 2.",15_04_Comunic_Recibidas/2017/CI004_GP-4663_070108_CON_1177_DESIS_CONSTRU_OBRA_HIDRA_EXP51847.pdf
15,2,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,CONCESIONARIA SAN RAFAEL S.A.,GP-6237,08/09/2017,"Ref. Contrato de Concesión bajo esquema APP N° 003-2014 – “Financiación, construcción, rehabilitación, mejoramiento, operación y mantenimiento del Corredor Honda – Puerto Salgar – Girardot, de acuerdo con el Apéndice Técnico 1 y demás apéndices del Contrato”. Solicitud de Concepto para Izaje de Vigas y Vaciado de Losas Puente Intersección Flandes.",15_04_Comunic_Recibidas/2017/CI004_GP-6237_070111_CON_3664_IZAJ_VIG_VLOSA_PTE_INTER_FLANDES.pdf
16,6,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,CONSORCIO 4C,GP-6735,11/12/2017,Informe de estado y verificación predios K47,15_04_Comunic_Recibidas/2017/CI004_GP-6735_070401_CON_5207_INF_PREDIOS_K47.pdf
19,1,Agencia Nacional de Infraestructura,2017-305-037311-1,Consorcio 4C,2017-409-120156-2,20/11/2017,Solicitud Información Tramo Ruta requerido del Proyecto Ruta del Sol II,15_04_Comunic_Recibidas/2017/CI004_GP-6523_070105_ANI_037311-1SCTD_INFO_RUTASOL.pdf
18,2,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,ALCALDÍA DE PUERTO SALGAR - Atn. Ing. MILENA JARABA LOZANO,GP-6031,25/09/2017,Solicitud de información sobre Proyectos de Vivienda de Interés Social Prioritario en el municipio.,15_04_Comunic_Recibidas/2017/CI004_GP-6031_070109_CON_3904_SCTD_VIVIEND_PTOSALGAR.pdf
17,11,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,GP-4976,03/05/2017,"Ref. Contrato de Concesión bajo esquema APP N° 003-2014 – “Financiación, construcción, rehabilitación, mejoramiento, operación y mantenimiento del Corredor Honda – Puerto Salgar – Girardot, de acuerdo con el Apéndice Técnico 1 y demás apéndices del Contrato”. Respuesta comunicación N° 2017-305-010396-1 (Rad Int. 01209). Oferta inmobiliaria en el Corredor Honda Puerto Salgar Girardot para traslado de unidades sociales residentes, propietarias o mejoratarias.",15_04_Comunic_Recibidas/2017/CI004_GP-4976_070400_CON_1703_TRASL_UNID_SOCIA_RESID_PROPIET_MEJORATA.pdf
22,1,CONCESION ALTO MAGDALENA S.A.S.,CI.004/GP3208/17/7.1.3,CONSORCIO 4C,ALMA-R-2017-03524,09/11/2017,Respuesta comunicación CI.004/GP3208/17/7.1.3 - Radicado ALMA-R-2017-03524 del 09 de octubre de 2017. Seguimiento Condiciones de Socavación Puente P14,15_04_Comunic_Recibidas/2017/CI004_GP-6432_070107_CON_4643_SOCAVA_PTE_P14.pdf
20,3,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,ALCALDÍA DE NARIÑO,GP-5279,05/06/2017,Solicitud de Restitución de Bienes de Uso Público.,15_04_Comunic_Recibidas/2017/CI004_GP-5279_070109_CON_2193_SCITUD_RESTI_BIENE_USO_PUBL.pdf
21,50,Fiduciaria Bogotá,NO IDENTIFICADO,Consorcio 4C,GP-6141,05/10/2017,RESPUESTA COMUNICADO CI.004/GP2907/17/7.2.1 P.A. ALTO MAGDALENA 3-1 63664,15_04_Comunic_Recibidas/2017/CI004_GP-6141_070202_FBTA_2017-013685_RTA_P.A_ALTO_MAGDALENA_ABRIL-2017.pdf
23,1,CONCESIÓN ALTO MAGDALENA S.A.S.,CI.004/GP2115/17/7.4 y Rad-1120,CONSORCIO 4C,GP-5014,05/05/2017,Respuesta a sus comunicaciones CI.004/GP2215/17/7.4 de fecha 29 de Abril de 2017 (Rad-1406) y CI.004/GP2115/17/7.4 de fecha 5 de Abril de 2017 (Rad-1120). Entrega de cuatro (4) expedientes para aprobación del Avalúo Comercial Corporativo.,15_04_Comunic_Recibidas/2017/CI004_GP-5014_070401_CON_1775_(4)EXPEDI_PREDIA_APROBA_AVALU_COMER_CORP.pdf
26,2,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,CONSORCIO 4C,GP-3042/17,14/11/2017,Respuesta comunicación CI.004/GP3042/17/7.1.3 – Radicado ALMA-R-2017-03175 del 19 de septiembre de 2017. Novedad Barandas Puente P7 del K110 UF4.,15_04_Comunic_Recibidas/2017/CI004_GP-6477_070107_CON_4758_BARAND_PTE_P7.pdf
24,4,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,CONSORCIO 4C,GP-5901,08/09/2017,Respuesta a su comunicación CI.004/GP2617/17/7.1.8 (ALMA-R-2017-02298) del 13 de julio de 2017 – Condiciones inseguras UF2.,15_04_Comunic_Recibidas/2017/CI004_GP-5901_070108_CON_3686_COND_INSEG_UF2.pdf
25,10,CONCESION ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,CONSORCIO 4C,GP-6763,12/12/2017,Respuesta ha comunicado CI.004/GP3504/17/7.1/.15 con radicado ALMA-R-2017-04187 DISEÑO ELÉCTRICO K0+00 UF2,15_04_Comunic_Recibidas/2017/CI004_GP-6763_070115_CON_5195_DISEÑO_ELECTRICO_K0_UF2.pdf
28,1,CONCESIÓN ALTO MAGDALENA S.A.S.,CI.004/GP-4011,CONSORCIO 4C,GP-6053,29/09/2017,Entrega de un (1) expediente de la Unidad Funcional 3 para revisión en la etapa de expropiación.,15_04_Comunic_Recibidas/2017/CI004_GP-6053_070404_CON_4011_EXPE_UF3_ETAP_EXPROPIA.pdf
27,4,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,CONSORCIO 4C,GP-5686,04/08/2017,Revisión Anclajes de Barandas Peatonales para Puentes Unidad Funcional 2,15_04_Comunic_Recibidas/2017/CI004_GP-5686_070107_CON_3248_PTE_PEATO_UF2.pdf
29,2,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,CONSORCIO 4C,GP-5928,12/09/2017,Respuesta a comunicados CI.004/GP2691/17/7.3.1 y CI.004/GP2558/17/7.3.1 con radicado ALMA-02431 de 24 de julio de 2017. Implementación Sistemas de Control ITS.,15_04_Comunic_Recibidas/2017/CI004_GP-5928_070301_CON_3706_IMPLEMT_ITS.pdf
30,2,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,ALCALDÍA DE FLANDES (Atención: Ing. FRANCISCO JAVIER DEVIA),GP-6002,25/09/2017,"Ref. Contrato de Concesión bajo esquema APP N° 003-2014 – “Financiación, construcción, rehabilitación, mejoramiento, operación y mantenimiento del Corredor Honda – Puerto Salgar – Girardot, de acuerdo con el Apéndice Técnico 1 y demás apéndices del Contrato”. Solicitud de información sobre Proyectos de Vivienda de Interés Social Prioritario en el municipio.",15_04_Comunic_Recibidas/2017/CI004_GP-6002_070109_CON_3906_INF_VIS_FLANDES.pdf
32,1,CONCESION ALTO MAGDALENA S.A.S.,ALMA-2017-3811,CONSORCIO 4C,GP-5983,19/09/2017,"Entrega de dos (2) expedientes prediales de la Unidad Funcional 2 para aprobación, debido a una mutación del predio matriz (división material).",15_04_Comunic_Recibidas/2017/CI004_GP-5983_070401_CON_3811_EXPE_PREDI_UF2_APROBA_PREDIO_MATRIZ.pdf
31,1,Agencia Nacional de Infraestructura - ANI,2017-305-000694-1,Consorcio 4C,GP-4045,13/01/2017,Solicitud apoyo en los trámites de registro adelantados por la Concesión Alto Magdalena S.A.S. Proyecto Girardot – Honda – Puerto Salgar. Contrato de Concesión 003 de 2014 - Concesión Alto Magdalena S.A.S.,15_04_Comunic_Recibidas/2017/CI004_GP-4045_070400_ANI_000694SOLIC_APOY_TRAMIT_GPRED_LADORADA.pdf
33,1,CONCESIÓN ALTO MAGDALENA S.A.S.,CI.004/GP-6590/2017,CONSORCIO 4C,GP-0006,25/09/2017,Entrega de un (1) expediente de la Unidad Funcional 2 para revisión en la etapa de expropiación.,15_04_Comunic_Recibidas/2017/CI004_GP-6590_070401_CON_3970_EXP_EXPRO.pdf
34,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2017-4904,CONSORCIO 4C,GP3411/17/7.4.1,24/11/2017,Respuesta a su comunicación identificada con el consecutivo CI.004/GP3411/17/7.4.1 (ALMA-R-2017-03988) del 15 de noviembre de 2017. Entrega de un (1) expediente predial de la Unidad Funcional 2 para aprobación,15_04_Comunic_Recibidas/2017/CI004_GP-6554_070401_CON_4904_EXP_PREDIAL.pdf
35,2,CONCESION ALTO MAGDALENA S.A.S.,CI.004/GP3340/17/7.4.2,CONSORCIO 4C,GP-6603,14/11/2017,Respuesta a su comunicado CI.004/GP3340/17/7.4.2 de fecha 01 de noviembre de 2017 (Rad. Interno ALMA-2017-3831),15_04_Comunic_Recibidas/2017/CI004_GP-6603_070402_CON_4821_RTA_FCHAS_SCIAL.pdf
36,2,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,CONSORCIO 4C,GP-5688,08/08/2017,Segunda entrega Complementación Técnica Diseños Eléctricos de las Áreas Contractuales.,15_04_Comunic_Recibidas/2017/CI004_GP-5688_070107_CON_3253_DISÑ_ELECTR.pdf
37,6,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,GP-0553,09/02/2017,"Respuesta a su comunicación identificada con el Radicado de salida No. 2017-304-001953-1 del 24 de enero de 2017 (R-00267) – Solicitud concepto de carga extradimensionada y extrapesada presentada por la Empresa COMERCIALIZADORA Y TRANSPORTADORA DEL SUR LTDA, Radicado ANI No. 2017-409-000265-2 del 03 de enero de 2017.",15_04_Comunic_Recibidas/2017/CI004_GP-4251_070114_CON_0553_CARGA_EXTRA_TRANSPO_SUR.pdf
40,1,CONCESIÓN ALTO MAGDALENA S.A.S.,CI.004/GP1504/16/7.1.13 (R-3146),CONSORCIO 4C,GP-004/GP1504/7.1.13,19/01/2017,"Respuesta a comunicación CI.004/GP1504/16/7.1.13 (R-3146), Documentación densímetro Eléctrico",15_04_Comunic_Recibidas/2017/CI004_GP-4106_070113_CON_0330_DOCUM_DENCI_ELECTR.pdf
38,1,CONCESIÓN ALTO MAGDALENA S.A.S.,07172101889,CORPORACIÓN AUTÓNOMA REGIONAL CUNDINAMARCA - CAR,NO IDENTIFICADO,22/05/2017,"Ref. Contrato de Concesión bajo esquema APP N° 003-2014 – “Financiación, construcción, rehabilitación, mejoramiento, operación y mantenimiento del Corredor Honda – Puerto Salgar – Girardot, de acuerdo con el Apéndice Técnico 1 y demás apéndices del Contrato”. Entrega información adicional radicado CAR 07172101889 del 16 de mayo de 2017",15_04_Comunic_Recibidas/2017/CI004_GP-5211_070108_CON_1983_OCUP_CAUCE_.pdf
39,5,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,CONSORCIO 4C,GP-4203,03/02/2017,Respuesta a su comunicación Cl.004/GP0977/16/7.1.7. (R-1657) recibida el 29 de Junio de 2016 – Control de Calidad Materiales Granulares,15_04_Comunic_Recibidas/2017/CI004_GP-4203_070113_CON_0475_CTROL_CALID_MATER_GRANULAR.pdf
42,1,CONCESION ALTO MAGDALENA S.A.S.,CI.004/GP-6812,CONSORCIO 4C,GP-0000 (NO IDENTIFICADO),20/12/2017,Entrega de Diseño Arquitectónico y Estructural del Área de Servicio K80 – UF3,15_04_Comunic_Recibidas/2017/CI004_GP-6812_070107_CON_5331_DISEÑO_AREA_SERVICIO_K80_UF3.pdf
41,3,CONCESION ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,ALCALDÍA MUNICIPAL DE GUATAQUÍ,GP-5738,04/08/2017,"Ref. Contrato de Concesión bajo esquema APP N° 003-2014 – “Financiación, construcción, rehabilitación, mejoramiento, operación y mantenimiento del Corredor Honda – Puerto Salgar – Girardot, de acuerdo con el Apéndice Técnico 1 y demás apéndices del Contrato”. Socialización procedimiento para trámite de Cierre de Vías en Eventos Deportivos y/o Culturales, ante la Agencia Nacional de Infraestructura ANI según lineamientos del Instituto Nacional de Vías INVIAS.",15_04_Comunic_Recibidas/2017/CI004_GP-5738_070114_CON_3331_SOCIA_CIERRE_VIAS_GUATAQUI.pdf
43,2,CONCESIÓN ALTO MAGDALENA S.A.S.,CI.004/GP2247/17/7.1.7,CONSORCIO 4C,GP-5025,08/05/2017,Respuesta a su comunicación CI.004/GP2247/17/7.1.7 del 04 de mayo de 2017 (Rad. Int 01430). Observaciones a la modificación del Diseño Geométrico entre el K47+100 y el K47+880 de la Unidad Funcional 3. Respuesta a ALMA-2017-1289.,15_04_Comunic_Recibidas/2017/CI004_GP-5025_070107_CON_1808_MODIFIC_DISEÑ_GEOME_K47+100_AL_47+880_UF3.pdf
44,1,CONCESIÓN ALTO MAGDALENA S.A.S.,CI.004/GP2168/17/7.4,CONSORCIO 4C,GP-01255,25/04/2017,Respuesta a sus comunicaciones CI.004/GP2168/17/7.4 de fecha 19 de abril de 2017 (Rad-01255). Entrega de un (1) expediente para aprobación del Avalúo Comercial Corporativo.,15_04_Comunic_Recibidas/2017/CI004_GP-4891_070401_CON_1561_(1)EXPEDI_PREDIA_APROBA_AVALU_COMER.pdf
45,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2017-5052,CONSORCIO 4C,GP-6640,01/12/2017,Entrega Diseño Aisladores Fase 2 Puentes P13G y P16G. Unidad Funcional 3.,15_04_Comunic_Recibidas/2017/CI004_GP-6640_070107_CON_5052_DISEÑ_AISLADOR_PTES_P13_P16.pdf
46,3,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,CONSORCIO 4C,GP-6416,09/11/2017,"Alcance comunicación ALMA-2017-4465 del 01 de noviembre de 2017 - Complemento Entrega intervenciones Unidades Funcionales 1, 2 y 4 del Proyecto.",15_04_Comunic_Recibidas/2017/CI004_GP-6416_070500_CON_4648_INTERV_UF1_2_4.pdf
47,1,CONCESION ALTO MAGDALENA S.A.S.,CI.004/GP2834/17.71.7,CONSORCIO 4C,ALMA-2017-02702,11/08/2017,Procedimiento Constructivo Diseño Obra Falsa Puente Intersección Chicoral UF1 – Respuesta Comunicación ALMA-2017-1362,15_04_Comunic_Recibidas/2017/CI004_GP-6078_070107_CON_4029_DISE_PTE_INTER_CHICORAL_UF1.pdf
49,2,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,CONSORCIO 4C,GP-6178,17/10/2017,Respuesta a su comunicación CI.004/GP2920/17/7.1.8 del 01 de septiembre de 2017 (Rad. Interno ALMA-R-2017-02959) – Condiciones seguridad frentes nocturnos.,15_04_Comunic_Recibidas/2017/CI004_GP-6178_070110_CON_4205_CONDIC_SEGUR_FRENTES_NOCTURN.pdf
48,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2017-4427,CONSORCIO 4C,CI.004/GP2749/17/7.1.7,28/07/2017,Respuesta comunicación CI.004/GP2749/17/7.1.7 - Radicado ALMA-R-2017-02518 del 28 de julio del 2017. Armadura Pilotes Puente Salgar UF5.3 - Respuesta a comunicación ALMA-2017-2640 y ALMA-2017-2907.,15_04_Comunic_Recibidas/2017/CI004_GP-6328_070107_CON_4427_PILOT_PTE_SALGAR.pdf
51,2,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,ALCALDÍA MUNICIPAL DE PUERTO SALGAR,GP-5731,11/08/2017,Atención a inconformidades comunidad de Puerto Salgar – Reunión Gobernación de Cundinamarca agosto 1 de 2017.,15_04_Comunic_Recibidas/2017/CI004_GP-5731_070109_CON_3277_ATEN_INCONFOR_PTO_SALGAR.pdf
53,1,CONCESION ALTO MAGDALENA S.A.S.,CI.004/GP2083/17/7.4,CONSORCIO 4C,GP-0004,03/04/2017,Respuesta a sus comunicación CI.004/GP2083/17/7.4 de fecha 03 de Abril de 2017 (Rad-1077). Entrega de un (1) expediente para aprobación del Avalúo Comercial Corporativo.,15_04_Comunic_Recibidas/2017/CI004_GP-5104_070401_CON_1936_EXPEDI_APROBA_AVALUO.pdf
52,5,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,CONSORCIO 4C,GP-4244,08/02/2017,Respuesta a su comunicación CI.004/GP1790/17/7.1.2 Recibido ALMA-R-2017-0422 del 06 de febrero de 2017,15_04_Comunic_Recibidas/2017/CI004_GP-4244_070102_CON_0547_CALIBRA_EQUIPOS.pdf
54,3,CONCESION ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,CONSORCIO 4C,GP-5361,12/06/2017,Presentación de los formatos establecidos en el Numeral 4.5 Literal (u) Parte general del Contrato.,15_04_Comunic_Recibidas/2017/CI004_GP-5361_070202_CON_2274_GCSP-F001_MAY17.pdf
50,9,CONCESION ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,ALCALDÍA DE PUERTO SALGAR,GP-5523,05/07/2017,Entrega de 99 Actas de vecindad-Iniciales Unidad Funcional 5-3 – Puerto Salgar sector urbano – Vías y Plaza de Mercado.,15_04_Comunic_Recibidas/2017/CI004_GP-5523_070109_CON_2645_ACTAS_VECINDAD_UF5.3_PTOSALGAR.pdf
56,1,CONCESION ALTO MAGDALENA S.A.S.,ALMA-2017-2085,CONCESIONARIA SAN RAFAEL,SR-2243-2017,26/05/2017,NO IDENTIFICADO,15_04_Comunic_Recibidas/2017/CI004_GP-5404_070107_CON_2503_ESPESO_PAVIMEN_ENLACES_SRAFAEL.pdf
55,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2017-0796,CONSORCIO 4C,CI.004/GP1894/17/7.4 (ALMA-R-2017-00668),28/02/2017,Respuesta a su comunicación CI.004/GP1894/17/7.4 (ALMA-R-2017-00668) del 24 de febrero de 2017. Alcance a nuestra comunicación ALMA-2017-0575 del 10 de febrero de 2017 y ALMA-2017-0678 del 17 de febrero de 2017 – Remisión de coordenadas actualizadas de la Zona de Utilidad Pública.,15_04_Comunic_Recibidas/2017/CI004_GP-4421_070400_CON_0796_REMISI_COORDE_ACTUALI_ZONA_UTILI_PUBLI.pdf
60,2,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,CORPORACIÓN AUTÓNOMA REGIONAL CUNDINAMARCA - CAR,GP-4299,09/02/2017,Solicitud de modificación de diseño de obra hidráulica aprobada mediante Resolución No. 564 del 09 de marzo de 2016 - Expediente 52000,15_04_Comunic_Recibidas/2017/CI004_GP-4299_070108_CON_0579_MODIF_DISE_OHIDRA_EXPED52000.pdf
59,1,CONCESIÓN ALTO MAGDALENA S.A.S.,2016037246-1-000,AUTORIDAD NACIONAL DE LICENCIAS AMBIENTALES - ANLA,NO IDENTIFICADO,16/11/2017,"Ref. Contrato de Concesión bajo esquema APP N° 003-2014 – “Financiación, construcción, rehabilitación, mejoramiento, operación y mantenimiento del Corredor Honda – Puerto Salgar – Girardot, de acuerdo con el Apéndice Técnico 1 y demás apéndices del Contrato”. Alcance Radicado ANLA No. 2016037246-1-000 Inicio de actividades Licencia Ambiental Resolución No. 660 del 20 de Julio de 2016 Expediente: LAV0004-00-2016",15_04_Comunic_Recibidas/2017/CI004_GP-6535_070108_CON_4798_LICENCIA_AMBIENTAL_RES660_LAV004-00-2016.pdf
58,2,CONCESIÓN ALTO MAGDALENA S.A.S.,NO IDENTIFICADO,CONSORCIO 4C,CI.004/GP1306/7.1.9 y CI.004/GP1803/7.1.9 (ALMA-R-2017-00477),28/02/2017,"Ref. Contrato de Concesión bajo esquema APP N° 003-2014 – “Financiación, construcción, rehabilitación, mejoramiento, operación y mantenimiento del corredor Honda–Puerto Salgar–Girardot, de acuerdo con el Apéndice Técnico 1 y demás apéndices del contrato”. Respuesta a sus comunicaciones CI.004/GP1306/7.1.9 de 3 de octubre de 2016 (ALMA-R-2016-0002583) y CI.004/GP1803/17/7.1.9 del 6 de febrero de 2017 (ALMA-R-2017-00477) – Solicitud de Entrega del Plan de Reasentamiento Licencia ambiental 1684 de 2015 UF 5.3.",15_04_Comunic_Recibidas/2017/CI004_GP-4420_070109_CON_0805_SCITUD_ENTRE_PLAN_REASENTA_LICENCI_AMBIEN_1684_2015_UF5.3.pdf
62,1,CONCESIÓN ALTO MAGDALENA S.A.S.,ALMA-2017-4250,CONSORCIO 4C,GP-6173,20/10/2017,NO IDENTIFICADO,15_04_Comunic_Recibidas/2017/CI004_GP-6173_070107_CON_4250_TRAZA_VIA_K133.pdf
61,1,CONCESIÓN ALTO MAGDALENA S.A.S.,CI.004/GP2982/17/7.4.1,CONSORCIO 4C,GP3076,20/09/2017,"Respuesta a su comunicación, CI.004/GP2982/17/7.4.1 del 10 de Agosto de 2017 (Rad. Interno ALMA-R-2017-03076), Entrega de dos (2) expediente predial de la unidad funcional 5 para aprobación de ficha predial.",15_04_Comunic_Recibidas/2017/CI004_GP-6019_070401_CON_3862_EXP_PREDIAL.pdf
63,1,CONCESION ALTO MAGDALENA S.A.S.,CI.004/GP2082,CONSORCIO 4C,GP-004767,05/04/2017,"Respuesta a su comunicación, CI.004/GP2082/17/7.4.1 del 29 de Marzo de 2017, Entrega de un (1) expediente predial de la unidad funcional 2 para aprobación.",15_04_Comunic_Recibidas/2017/CI004_GP-4767_070401_CON_1335_EXP_PREDIAL.pdf
